id,book_author_full_name
730,Липсиц Игорь Владимирович
731,Кулемзин Владислав Михайлович
732,Киз Дэниел
733,Кизи Кен
734,Стюарт Мэри
735,Дункан Дэйв
736,Миненко Нина Адамовна
737,Рязанов Эльдар Александрович
738,Льюис Клайв Стейплз
739,Дашков Леонид Павлович
740,Даррелл Джеральд Малкольм
741,Кожухар Владимир Макарович
742,Кротов Антон Викторович
743,Каннингем Майкл
744,Шамблен Жорис
745,Киплинг Джозеф Редьярд
746,Барнс Джулиан Патрик
747,Пьюзо Марио
748,Паро Жан-Франсуа
749,Дрешер Юлия Николаевна
750,Крусанов Павел Васильевич
751,Мьевиль Чайна
752,Жарова Анна Константиновна
753,Хайям Гиясаддин Абу-ль-Фатх Омар
754,Коняев Николай Михайлович
755,Гэблдон Диана Джин
756,Тодд Анна
757,Стилтон Джеронимо
758,Яковлев Яков Александрович
759,Хоук Коллин
760,Шустерман Нил
761,Каминская Елена Анатольевна
762,Жукова Олеся Станиславовна
763,Тютчев Федор Иванович
764,Дробот Андрей Викторович
765,Сукиасян Эдуард Рубенович
766,Резник Семен Давыдович
767,Волков Борис Степанович
768,Булганова Елена
769,Столяров Юрий Николаевич
770,Митчелл Дэвид
771,Кабаков Александр Абрамович
772,Мюллер Карин
773,Ливитин Виталий Викторович
774,Антонов Владимир Сергеевич
775,Толстая Татьяна Никитична
776,Овсянников-Заярский Валентин Петрович
777,Шамрай Наталья Николаевна
778,Брэнд Макс
779,Флобер Гюстав
780,Медведев Рой Александрович
781,Лукичева Любовь Ивановна
782,Шваб Виктория
783,Алюшина Татьяна Александровна
784,Бром Джеральд
785,Иванов Виталий Вячеславович
786,Розанов Василий Васильевич
787,Дидье Энн
788,Берггольц Ольга Федоровна
789,Медведев Дмитрий Львович
790,Тебекин Алексей Васильевич
791,Старк Ульф
792,Лукас Ольга
793,Мартен-Люган Аньес
794,Сотник Юрий Вячеславович
795,Гемуев Измаил Нухович
796,Кузнецов Никита Анатольевич
797,Уэйр Рут
798,Чиж Антон
799,Чижова Елена Семеновна
800,Ветрова Ольга
801,Марш Найо
802,Руденко Андрей Михайлович
803,Салиндер Надежда Сергеевна
804,Попов Юрий Игоревич
805,Яхина Гузель Шамилевна
806,Рой Олег
807,Фексеус Хенрик
808,Громыко Ольга Николаевна
809,Пичков Алексей Ильич
810,Громаковский Алексей Алексеевич
811,Мортон Кейт
812,Нешитой Анатолий Семенович
813,Айпин Еремей Данилович
814,Силлов Дмитрий Олегович
815,Верн Жюль
816,Самбуров Николай Михайлович
817,Мейер Марисса
818,Санаев Павел Владимирович
819,Асов Александр Игоревич
820,Морозова
821,Гамсун Кнут
822,Калашников Максим
823,Рудник Элизабет
824,Крючкова Ольга Евгеньевна
825,Грекова Ирина
826,Грэйс Наталья Евгеньевна
827,Винтер Алена
828,Коломиец Максим Викторович
829,Медведев Валерий Владимирович
830,Григорьев Михаил Николаевич
831,Ле Карре Джон
832,Фитцпатрик Бекка
833,Рубанов Андрей Викторович
834,Лубченков Юрий Николаевич
835,Клюев Евгений Васильевич
836,Апдайк Джон
837,Нильсон Фрида
838,Погорельский Антоний
839,Кэрол Джеймс
840,Хармс Даниил Иванович
841,Дышев Андрей Михайлович
842,Мюллер Станислав
843,Кертин Джуди
844,Кастелл Себастьян де
845,Погодин Радий Петрович
846,Алексиевич Светлана Александровна
847,Знаменская Алина
848,Мольер Жан-Батист
849,Мартынов Анатолий Иванович
850,Файнберг Лев Абрамович
851,Паскьюалотто Марио
852,Матвеев Герман Иванович
853,Путилов Борис Николаевич
854,Подольская Елизавета Ананьевна
855,Грин Джон Майкл
856,Мисима Юкио
857,Санд Илсе
858,Самаров Сергей Васильевич
859,Козырев Геннадий Иванович
860,Дайнес Владимир Оттович
861,Ханлон Эбби
862,Тынянов Юрий Николаевич
863,Кара-Мурза Сергей Георгиевич
864,Бернетт Френсис Элиза
865,Ливанов Василий Борисович
866,Грин Грэм
867,Ильяхов Максим
868,Барнс Джулиан
869,Воронова Ольга Валерьевна
870,Кийосаки Роберт Тору
871,Нагибин Юрий Маркович
872,Хейл Шеннон
873,Шамсутдинов Николай Меркамалович
874,Шоу Ирвин
875,Линдсей Джеффри
876,Памбухчиянц Ольга Валерьевна
877,Хенди Барб
878,Грибоедов Александр Сергеевич
879,Секлитова Лариса Александровна
880,Адамов Аркадий Григорьевич
881,Курпатов Андрей Владимирович
882,Земсков Андрей Ильич
883,Адамов Григорий Борисович
884,Шварц Евгений Львович
885,Палей Марина Анатольевна
886,Мартынова Елена Петровна
887,Райх Кристофер
888,Линдер Иосиф Борисович
889,Кошкин Иван Всеволодович
890,Старобинец Анна Альфредовна
891,Фет Афанасий Афанасьевич
892,Шоу Бернард
893,Кастанеда Карлос
894,Матвеева Ирина Юрьевна
895,Берн Эрик
896,Вагнер Яна Михайловна
897,Пятница Татьяна Викторовна
898,Гаврилова Анна Сергеевна
899,Шишкин Михаил Павлович
900,Харючи Галина Павловна
901,Фаулз Джон
902,Алейников Владимир Дмитриевич
903,Шашкова Оксана Владимировна
904,Пантелеев Александр Семенович
905,Мириманова Екатерина Валерьевна
906,Кивиряхк Андрус
907,Бюсси Мишель
908,Льюис Синклер
909,Андреев Олег Андреевич
910,Л'Амур Луи Даборн
911,Лапуста Михаил Григорьевич
912,Стокер Брэм
913,Елизаров Михаил Юрьевич
914,Успенский Глеб Иванович
915,Петрова Людмила Ивановна
916,Маас Сара
917,Фоер Джонатан Сафран
918,Успенский Михаил Глебович
919,Престон Дуглас
920,Юрье Женевьева
921,Михеенков Сергей Егорович
922,Кантини Барбара
923,Михеева Тамара Витальевна
924,Фокин Сергей Владимирович
925,Свеженцева Надежда
926,Биссет Дональд
927,Степанченко Валерий Иванович
928,Флинн Гиллиан
929,Петров
930,Грубер Андреас
931,Муравьева Татьяна Владимировна
932,Приставкин Анатолий Игнатьевич
933,Магидович Иосиф Петрович
934,Измайлова Ирина Александровна
935,Саенко Ольга Евгеньевна
936,Карлан Одри
937,Фостер Алан Дин
938,Иловайский Дмитрий Иванович
939,Леметр Пьер
940,Степанов Владимир Александрович
941,Уорф Дженнифер
942,Карнеги Дейл
943,Форман Гейл
944,Ионина Надежда Алексеевна
945,Иорданишвили Андрей Константинович
946,Ефимов Игорь Маркович
947,Лар Леонид Алексеевич
948,Портер Элеанор Ходгман
949,Губарев Виктор Кимович
950,Кремлев Сергей
951,Есикова Ирина Владимировна
952,Ефимова Наталия Сергеевна
